"export-plot data (NetLogo 6.1.1)"
"ResEx.nlogo"
"07/29/2021 13:40:25:679 +0200"

"MODEL SETTINGS"
"real-communities","regeneration-time","communities-number","territory","household-size","time-limit","number-households","clay-exploitation-rate"
"true","1","10","50","6","2000","100","10"

"""Wood harvested [m³ per year and household]"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","571","0","80","true","""Community 0""","true","15"

"pen name","pen down?","mode","interval","color","x"
"""Community 0""","true","0","1","0","565"
"""Community 1""","true","0","1","85","565"
"""Community 2""","true","0","1","55","565"
"""Community 3""","true","0","1","15","565"
"""Community 4""","true","0","1","5","565"
"""Community 5""","true","0","1","25","565"
"""Community 6""","true","0","1","35","565"
"""Community 7""","true","0","1","45","565"
"""Community 8""","true","0","1","65","565"
"""Community 9""","true","0","1","75","565"
"""Community 10""","true","0","1","95","565"
"""Community 11""","true","0","1","105","565"
"""Community 12""","true","0","1","115","565"
"""Community 13""","true","0","1","125","565"
"""Community 14""","true","0","1","135","565"

"""Community 0""",,,,"""Community 1""",,,,"""Community 2""",,,,"""Community 3""",,,,"""Community 4""",,,,"""Community 5""",,,,"""Community 6""",,,,"""Community 7""",,,,"""Community 8""",,,,"""Community 9""",,,,"""Community 10""",,,,"""Community 11""",,,,"""Community 12""",,,,"""Community 13""",,,,"""Community 14"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","50.68268918049796","0","true","0","50.099618444754704","85","true","0","67.85095856764123","55","true","0","69.79301641880141","15","true","0","50.81847919933034","5","true","0","35.84926841800176","25","true","0","61.56318099046765","35","true","0","56.01533619190804","45","true","0","58.21179283087873","65","true","0","72.50833859930965","75","true","0","63.214813583671244","95","true","0","66.5960445842843","105","true","0","73.66811083300354","115","true","0","59.43427108031451","125","true","0","56.69543854907806","135","true"
"1","42.31436787271959","0","true","1","41.7639571411318","85","true","1","50.889820900469935","55","true","1","52.25029118233381","15","true","1","39.998878697946665","5","true","1","46.144548501684646","25","true","1","46.09795782950493","35","true","1","41.377120969211894","45","true","1","46.80145972546657","65","true","1","57.53666109408761","75","true","1","51.23277583218743","95","true","1","53.94116920024694","105","true","1","56.18111035748006","115","true","1","43.932511287709744","125","true","1","45.9662697552669","135","true"
"2","37.272852732976254","0","true","2","35.68347749122368","85","true","2","47.55352751940527","55","true","2","47.86317053474057","15","true","2","34.40581608489972","5","true","2","41.24798323909762","25","true","2","39.330144079180926","35","true","2","37.23277403964705","45","true","2","48.97395048014766","65","true","2","48.08713225344801","75","true","2","43.350142068716885","95","true","2","53.142779927182616","105","true","2","48.70679781477967","115","true","2","39.001381998320134","125","true","2","38.16815849030962","135","true"
"3","37.8907750923637","0","true","3","34.117600266660524","85","true","3","45.62722182017869","55","true","3","45.58927782583556","15","true","3","33.39097439478117","5","true","3","41.979933414835344","25","true","3","37.834833388450534","35","true","3","35.281187756821886","45","true","3","43.914247388525226","65","true","3","44.98294522114322","75","true","3","42.207647041041525","95","true","3","48.416418973022054","105","true","3","45.27263219195362","115","true","3","35.98979364552854","125","true","3","37.50318692785838","135","true"
"4","30.312620073890958","0","true","4","27.29408021332842","85","true","4","36.522738461385174","55","true","4","36.49276249462393","15","true","4","26.712779515824934","5","true","4","33.815491397003505","25","true","4","30.403857630860944","35","true","4","28.239473235895435","45","true","4","35.27291529767072","65","true","4","36.00854487920817","75","true","4","33.87262125886421","95","true","4","38.73313517841765","105","true","4","36.218105753562895","115","true","4","28.830974772365323","125","true","4","30.0025495422867","135","true"
"5","31.92744066786519","0","true","5","27.64895538302076","85","true","5","36.9180949347136","55","true","5","37.400548282853784","15","true","5","27.41565541124691","5","true","5","36.2643447911375","25","true","5","31.036798427797134","35","true","5","28.51771402849483","45","true","5","34.07991375938476","65","true","5","37.050998252026","75","true","5","34.7477030377043","95","true","5","38.02563733572202","105","true","5","36.74751582231696","115","true","5","29.24267049114346","125","true","5","30.79878984730832","135","true"
"6","27.382015819021248","0","true","6","23.69910461401779","85","true","6","31.644081372611655","55","true","6","32.05761281387468","15","true","6","23.499133209640206","5","true","6","31.083724106689292","25","true","6","26.602970080968973","35","true","6","24.443754881567","45","true","6","29.28126370931906","65","true","6","31.75799850173657","75","true","6","29.783745460889396","95","true","6","32.59340343061887","105","true","6","31.49787070484311","115","true","6","25.065146135265824","125","true","6","26.398962726264273","135","true"
"7","27.693760617433554","0","true","7","24.676283085662014","85","true","7","32.32922730834079","55","true","7","32.04864981825864","15","true","7","24.500944114971187","5","true","7","31.87694039438748","25","true","7","27.204839884631795","35","true","7","24.520849510588906","45","true","7","29.124850076523245","65","true","7","32.76582507788073","75","true","7","30.274313177055998","95","true","7","32.79192658256824","105","true","7","32.2997550291266","115","true","7","25.817381598639454","125","true","7","27.954224918013697","135","true"
"8","24.616676104385384","0","true","8","21.9635549447064","85","true","8","28.73709094074737","55","true","8","28.487688727341016","15","true","8","21.7786169910855","5","true","8","28.335058128344425","25","true","8","24.182079897450485","35","true","8","21.796310676079028","45","true","8","25.888755623576216","65","true","8","29.125177847005094","75","true","8","26.910500601827554","95","true","8","29.148379184505096","105","true","8","28.710893359223643","115","true","8","22.94878364323507","125","true","8","24.848199927123286","135","true"
"9","25.5443722223583","0","true","9","22.70473636072754","85","true","9","29.509856692411628","55","true","9","29.609561905402543","15","true","9","21.818380434915735","5","true","9","28.781695794448552","25","true","9","24.91034110762282","35","true","9","22.3978129123186","45","true","9","26.53697345029169","65","true","9","29.526086409478413","75","true","9","27.428868809608108","95","true","9","30.233698258874583","105","true","9","29.393733275098725","115","true","9","23.57515498114147","125","true","9","25.58970729399698","135","true"
