"export-plot data (NetLogo 6.1.1)"
"ResEx.nlogo"
"07/30/2021 01:01:25:985 +0200"

"MODEL SETTINGS"
"real-communities","regeneration-time","communities-number","landuse-visualization","territory","household-size","time-limit","number-households","clay-exploitation-rate"
"true","3","10","true","50","6","2000","100","10"

"""Crops harvested [tons per year and household]"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","2190","0","2","true","""Community 0""","true","15"

"pen name","pen down?","mode","interval","color","x"
"""Community 0""","true","0","1","0","1999"
"""Community 1""","true","0","1","85","1999"
"""Community 2""","true","0","1","55","1999"
"""Community 3""","true","0","1","15","1999"
"""Community 4""","true","0","1","5","1999"
"""Community 5""","true","0","1","25","1999"
"""Community 6""","true","0","1","35","1999"
"""Community 7""","true","0","1","45","1999"
"""Community 8""","true","0","1","65","1999"
"""Community 9""","true","0","1","75","1999"
"""Community 10""","true","0","1","95","1999"
"""Community 11""","true","0","1","105","1999"
"""Community 12""","true","0","1","115","1999"
"""Community 13""","true","0","1","125","1999"
"""Community 14""","true","0","1","135","1999"

"""Community 0""",,,,"""Community 1""",,,,"""Community 2""",,,,"""Community 3""",,,,"""Community 4""",,,,"""Community 5""",,,,"""Community 6""",,,,"""Community 7""",,,,"""Community 8""",,,,"""Community 9""",,,,"""Community 10""",,,,"""Community 11""",,,,"""Community 12""",,,,"""Community 13""",,,,"""Community 14"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0.7061711158908781","0","true","0","0.5813257986977256","85","true","0","1.3154732243398601","55","true","0","0.9690886190382101","15","true","0","1.7241798893789226","5","true","0","1.4465007686773672","25","true","0","1.5158846180741958","35","true","0","1.359224194372204","45","true","0","0.7404208552669471","65","true","0","0.8981622312889724","75","true","0","0.5576253722570337","95","true","0","1.3024707029986855","105","true","0","0.9797107584064342","115","true","0","0.9398455786856876","125","true","0","0.9195861071067566","135","true"
"1","0.35308555794543905","0","true","1","0.2906628993488628","85","true","1","0.6577366121699301","55","true","1","0.48454430951910504","15","true","1","0.8620899446894613","5","true","1","0.7232503843386836","25","true","1","0.7579423090370979","35","true","1","0.679612097186102","45","true","1","0.37021042763347356","65","true","1","0.4490811156444862","75","true","1","0.27881268612851684","95","true","1","0.6512353514993428","105","true","1","0.4898553792032171","115","true","1","0.4699227893428438","125","true","1","0.4597930535533783","135","true"
"2","0.5031862778586305","0","true","2","0.4242739261261653","85","true","2","0.8722345939140939","55","true","2","0.6765431396031784","15","true","2","1.1465225951948417","5","true","2","0.9799465075242672","25","true","2","1.003678172422936","35","true","2","0.9042190408482798","45","true","2","0.4758150179559014","65","true","2","0.6066933701953502","75","true","2","0.39099523108331186","95","true","2","0.8706792764053176","105","true","2","0.666137411588264","115","true","2","0.6354614102801883","125","true","2","0.6097870924202161","135","true"
"3","0.37738970839397284","0","true","3","0.318205444594624","85","true","3","0.6541759454355704","55","true","3","0.5074073547023837","15","true","3","0.8598919463961312","5","true","3","0.7349598806432004","25","true","3","0.7527586293172019","35","true","3","0.6781642806362098","45","true","3","0.35686126346692604","65","true","3","0.45502002764651267","75","true","3","0.2932464233124839","95","true","3","0.6530094573039882","105","true","3","0.49960305869119803","115","true","3","0.4765960577101412","125","true","3","0.4573403193151621","135","true"
"4","0.4133374905007357","0","true","4","0.3565677099442219","85","true","4","0.7454130943274414","55","true","4","0.5957518673315763","15","true","4","0.9841050881299541","5","true","4","0.8415441633036699","25","true","4","0.8374057528670874","35","true","4","0.7621433601723724","45","true","4","0.41724375816578035","65","true","4","0.5036605148940463","75","true","4","0.32460286541226374","95","true","4","0.7774579724197124","105","true","4","0.5566825018843082","115","true","4","0.5442995011078976","125","true","4","0.5034427618566243","135","true"
"5","0.3444479087506131","0","true","5","0.2971397582868516","85","true","5","0.6211775786062012","55","true","5","0.4964598894429802","15","true","5","0.8200875734416284","5","true","5","0.7012868027530582","25","true","5","0.6978381273892396","35","true","5","0.6351194668103103","45","true","5","0.347703131804817","65","true","5","0.41971709574503857","75","true","5","0.2705023878435531","95","true","5","0.6478816436830936","105","true","5","0.4639020849035902","115","true","5","0.4535829175899147","125","true","5","0.41953563488052026","135","true"
"6","0.40792267085245537","0","true","6","0.35137859196416105","85","true","6","0.7167936851890326","55","true","6","0.5719789672571074","15","true","6","0.9227822881731325","5","true","6","0.7946955874193976","25","true","6","0.7917935752016186","35","true","6","0.7296085217849001","45","true","6","0.40380566372797844","65","true","6","0.48642227737668997","75","true","6","0.31882932999372793","95","true","6","0.7290657122953016","105","true","6","0.5399944088481882","115","true","6","0.5247647521698958","125","true","6","0.4875106525524122","135","true"
"7","0.3569323369958985","0","true","7","0.30745626796864095","85","true","7","0.6271944745404036","55","true","7","0.500481596349969","15","true","7","0.8074345021514908","5","true","7","0.6953586389919729","25","true","7","0.6928193783014163","35","true","7","0.6384074565617875","45","true","7","0.3533299557619811","65","true","7","0.42561949270460375","75","true","7","0.27897566374451194","95","true","7","0.6379324982583889","105","true","7","0.47249510774216463","115","true","7","0.4591691581486589","125","true","7","0.42657182098336066","135","true"
"8","0.3880769716450537","0","true","8","0.3291719009254751","85","true","8","0.6863823679238052","55","true","8","0.5509913866190118","15","true","8","0.8647808323583822","5","true","8","0.7371214897352507","25","true","8","0.7391779298593181","35","true","8","0.6877613158026709","45","true","8","0.39040709385517847","65","true","8","0.46644250407240695","75","true","8","0.30173172394953607","95","true","8","0.6962571389491564","105","true","8","0.5135083023581692","115","true","8","0.4984249115428865","125","true","8","0.46666171398386314","135","true"
"9","0.34926927448054834","0","true","9","0.2962547108329276","85","true","9","0.6177441311314248","55","true","9","0.4958922479571107","15","true","9","0.7783027491225439","5","true","9","0.6634093407617256","25","true","9","0.6652601368733863","35","true","9","0.6189851842224038","45","true","9","0.3513663844696606","65","true","9","0.41979825366516627","75","true","9","0.2715585515545824","95","true","9","0.6266314250542409","105","true","9","0.4621574721223523","115","true","9","0.4485824203885978","125","true","9","0.41999554258547683","135","true"
