"export-plot data (NetLogo 6.1.1)"
"ResEx.nlogo"
"07/30/2021 01:00:45:841 +0200"

"MODEL SETTINGS"
"real-communities","regeneration-time","communities-number","landuse-visualization","territory","household-size","time-limit","number-households","clay-exploitation-rate"
"true","3","10","true","50","6","2000","100","10"

"""Wood harvested [m³ per year and household]"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","2190","0","80","true","""Community 0""","true","15"

"pen name","pen down?","mode","interval","color","x"
"""Community 0""","true","0","1","0","1999"
"""Community 1""","true","0","1","85","1999"
"""Community 2""","true","0","1","55","1999"
"""Community 3""","true","0","1","15","1999"
"""Community 4""","true","0","1","5","1999"
"""Community 5""","true","0","1","25","1999"
"""Community 6""","true","0","1","35","1999"
"""Community 7""","true","0","1","45","1999"
"""Community 8""","true","0","1","65","1999"
"""Community 9""","true","0","1","75","1999"
"""Community 10""","true","0","1","95","1999"
"""Community 11""","true","0","1","105","1999"
"""Community 12""","true","0","1","115","1999"
"""Community 13""","true","0","1","125","1999"
"""Community 14""","true","0","1","135","1999"

"""Community 0""",,,,"""Community 1""",,,,"""Community 2""",,,,"""Community 3""",,,,"""Community 4""",,,,"""Community 5""",,,,"""Community 6""",,,,"""Community 7""",,,,"""Community 8""",,,,"""Community 9""",,,,"""Community 10""",,,,"""Community 11""",,,,"""Community 12""",,,,"""Community 13""",,,,"""Community 14"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","62.74987871168105","0","true","0","48.86954409776031","85","true","0","78.65120478159162","55","true","0","71.92229488581569","15","true","0","55.19610100301797","5","true","0","33.224696354121434","25","true","0","70.97339097611925","35","true","0","67.84956214794495","45","true","0","59.11181043250972","65","true","0","70.48761440883709","75","true","0","49.55937323327348","95","true","0","65.05242765683401","105","true","0","67.00346752662519","115","true","0","62.74240259998798","125","true","0","68.61359640598369","135","true"
"1","53.912549278974886","0","true","1","39.36432185468849","85","true","1","60.13871490593688","55","true","1","54.5929052487478","15","true","1","43.761403480054554","5","true","1","38.4363312172605","25","true","1","58.30362119293597","35","true","1","51.16750929966712","45","true","1","44.710275709746426","65","true","1","55.503047540536926","75","true","1","39.81393261792992","95","true","1","50.58782383523959","105","true","1","49.44723870860894","115","true","1","46.39761774880269","125","true","1","53.073225917121846","135","true"
"2","52.488939483841946","0","true","2","39.52026911025491","85","true","2","56.02153287203786","55","true","2","50.925402808142564","15","true","2","38.451996231370394","5","true","2","36.24955622541162","25","true","2","50.397936787016825","35","true","2","47.205140317125974","45","true","2","47.84326865735701","65","true","2","48.36209598149513","75","true","2","36.59756120027715","95","true","2","51.072351098454355","105","true","2","46.48788021504422","115","true","2","43.09603647179362","125","true","2","49.44868315647821","135","true"
"3","50.39231483059736","0","true","3","37.966017378992824","85","true","3","52.032677105902636","55","true","3","47.315430019581754","15","true","3","37.23760215257599","5","true","3","37.178048534562905","25","true","3","47.59432408949588","35","true","3","44.5951459451337","45","true","3","45.024510114852205","65","true","3","44.221207973294696","75","true","3","35.57867428539469","95","true","3","46.66520219189491","105","true","3","42.32214479066842","115","true","3","37.9550447925422","125","true","3","47.82211720576827","135","true"
"4","44.32670945223552","0","true","4","34.3537330273093","85","true","4","48.67620804353526","55","true","4","44.44381953734102","15","true","4","33.134666649793914","5","true","4","34.7283568052135","25","true","4","42.94247725396343","35","true","4","39.317644902312175","45","true","4","46.1736863493282","65","true","4","39.529279321482235","75","true","4","30.93094520596461","95","true","4","47.215262838782","105","true","4","38.56784875191442","115","true","4","34.91376203113365","125","true","4","42.54302798127453","135","true"
"5","44.890933482179825","0","true","5","33.84613222444135","85","true","5","47.664942758051886","55","true","5","43.717781046322244","15","true","5","33.422577854043986","5","true","5","36.71739412431856","25","true","5","42.25578258413879","35","true","5","38.109482777486775","45","true","5","44.18531082734538","65","true","5","38.546619439579544","75","true","5","29.61668050558202","95","true","5","44.22043599380833","105","true","5","38.071992646256525","115","true","5","35.43243725685917","125","true","5","42.47088761059864","135","true"
"6","42.30134442841338","0","true","6","31.55286084978975","85","true","6","42.39091803434637","55","true","6","38.5076091422607","15","true","6","29.046511266303433","5","true","6","32.71660493354414","25","true","6","36.89774534041059","35","true","6","33.486988783980934","45","true","6","37.873123566296044","65","true","6","34.953327104210445","75","true","6","27.44196875629521","95","true","6","38.212716425061515","105","true","6","34.28091904034056","115","true","6","31.895355770885047","125","true","6","38.313995302390474","135","true"
"7","42.70615552084475","0","true","7","30.771036796755958","85","true","7","43.279471083151236","55","true","7","38.906133847767904","15","true","7","28.98114286798879","5","true","7","33.182703319257314","25","true","7","37.64899016611194","35","true","7","33.64561783263799","45","true","7","37.208773885426965","65","true","7","35.388228444751626","75","true","7","27.1101291568469","95","true","7","37.125923292073644","105","true","7","34.74237177559198","115","true","7","32.09420513209626","125","true","7","38.92388218298844","135","true"
"8","37.96102712963978","0","true","8","27.35203270822752","85","true","8","38.4706409628011","55","true","8","34.583230086904805","15","true","8","25.761015882656704","5","true","8","29.49573628378428","25","true","8","33.46576903654395","35","true","8","29.907215851233765","45","true","8","33.07446567593508","65","true","8","31.456203062001443","75","true","8","24.09789258386391","95","true","8","33.00082070406546","105","true","8","30.88210824497064","115","true","8","28.528182339641127","125","true","8","34.59900638487862","135","true"
"9","38.09172343959958","0","true","9","28.144914294466275","85","true","9","39.107618029618656","55","true","9","35.11404776680561","15","true","9","26.164042098279893","5","true","9","30.619722972333843","25","true","9","33.35780393144721","35","true","9","30.142427881017515","45","true","9","32.95411410409409","65","true","9","31.889021775356735","75","true","9","24.509826233927665","95","true","9","32.522608328800274","105","true","9","31.688623604125056","115","true","9","29.18064898966819","125","true","9","35.06604295783262","135","true"
"10","34.628839490545076","0","true","10","25.586285722242067","85","true","10","35.589664468694096","55","true","10","31.932141668452896","15","true","10","24.33869553821163","5","true","10","28.794888630803083","25","true","10","31.128924352349845","35","true","10","27.402207164561375","45","true","10","29.95828554917644","65","true","10","28.99001979577885","75","true","10","22.281660212661514","95","true","10","30.780616071031396","105","true","10","28.807839640113684","115","true","10","26.54731500550052","125","true","10","31.87822087075693","135","true"
"11","35.643331970564255","0","true","11","26.273129697714435","85","true","11","36.16915100738014","55","true","11","32.06642756177585","15","true","11","25.004363073118373","5","true","11","29.29884227640736","25","true","11","31.80861188141869","35","true","11","28.59142055522976","45","true","11","29.774477732710753","65","true","11","30.030022949632702","75","true","11","22.707682170729285","95","true","11","31.28462429623134","105","true","11","29.276262365654304","115","true","11","27.415580914353693","125","true","11","32.80167324102208","135","true"
"12","32.90153720359777","0","true","12","24.25211972096717","85","true","12","33.40910259022449","55","true","12","29.599779287793094","15","true","12","23.080950529032343","5","true","12","27.04508517822218","25","true","12","29.361795582848018","35","true","12","26.463886189861054","45","true","12","27.484133291733006","65","true","12","27.72002118427634","75","true","12","20.960937388365494","95","true","12","28.878114734982773","105","true","12","27.024242183680897","115","true","12","25.306690074788026","125","true","12","30.2784676070973","135","true"
"13","33.80957714581282","0","true","13","24.87804682872233","85","true","13","34.262770265106425","55","true","13","29.715243865698493","15","true","13","23.922463625194023","5","true","13","27.36778427150333","25","true","13","29.795166343065297","35","true","13","27.073171101833125","45","true","13","27.813689205585277","65","true","13","27.808979537478987","75","true","13","21.451146758518444","95","true","13","29.0721211320158","105","true","13","27.81938959796803","115","true","13","25.58944473089682","125","true","13","30.909988122203366","135","true"
"14","31.555605336091958","0","true","14","23.219510373474176","85","true","14","31.978585580765998","55","true","14","27.73422760798526","15","true","14","22.327632716847756","5","true","14","25.543265320069775","25","true","14","27.808821920194276","35","true","14","25.268293028377585","45","true","14","25.95944325854626","65","true","14","25.955047568313724","75","true","14","20.021070307950545","95","true","14","27.133979723214747","105","true","14","25.96476362477016","115","true","14","23.88348174883703","125","true","14","28.849322247389807","135","true"
"15","32.19530734027564","0","true","15","24.14499948888114","85","true","15","32.455158789139325","55","true","15","28.47852681380299","15","true","15","22.556414182143783","5","true","15","25.856156593455914","25","true","15","28.57394282278342","35","true","15","26.241542059586443","45","true","15","26.13823101223363","65","true","15","26.530886264052842","75","true","15","20.47740795901448","95","true","15","27.252853116654357","105","true","15","26.407808659334112","115","true","15","24.744820658109138","125","true","15","29.25386379910917","135","true"
"16","30.301465732024134","0","true","16","22.724705401299897","85","true","16","30.54603180154289","55","true","16","26.80331935416752","15","true","16","21.2295662890765","5","true","16","24.335206205605566","25","true","16","26.893122656737336","35","true","16","24.6979219384343","45","true","16","24.600688011514006","65","true","16","24.970245895579144","75","true","16","19.27285454966069","95","true","16","25.649744109792337","105","true","16","24.854408149961518","115","true","16","23.289242972338013","125","true","16","27.53304828151451","135","true"
"17","30.776589305866786","0","true","17","23.433083278892752","85","true","17","31.260313108164908","55","true","17","27.163978301351868","15","true","17","21.93064583312064","5","true","17","25.035369003911313","25","true","17","27.26267864000931","35","true","17","25.0794751274594","45","true","17","25.573566934176505","65","true","17","25.26934442721401","75","true","17","19.666956138226837","95","true","17","25.99855111383535","105","true","17","25.013393153753213","115","true","17","24.05921887619547","125","true","17","28.470500949934298","135","true"
"18","29.156768816084323","0","true","18","22.19976310631945","85","true","18","29.61503347089307","55","true","18","25.734295232859665","15","true","18","20.77640131558797","5","true","18","23.717718003705457","25","true","18","25.827800816850925","35","true","18","23.759502752329958","45","true","18","24.227589727114584","65","true","18","23.93937893104485","75","true","18","18.63185318358332","95","true","18","24.630206318370334","105","true","18","23.696898777239884","115","true","18","22.792944198500972","125","true","18","26.972053531516703","135","true"
"19","29.812558257903493","0","true","19","22.78500866426821","85","true","19","30.281318918747424","55","true","19","26.440439160060315","15","true","19","21.17095577036813","5","true","19","23.908735803984797","25","true","19","26.143099028331257","35","true","19","24.369043499111363","45","true","19","24.577410073961445","65","true","19","24.49300927418548","75","true","19","19.299196504905726","95","true","19","24.931880687832233","105","true","19","24.235338005911856","115","true","19","23.31296159131217","125","true","19","27.444804633226926","135","true"
"20","28.392912626574756","0","true","20","21.70000825168401","85","true","20","28.83935135118802","55","true","20","25.18137062862887","15","true","20","20.16281501939822","5","true","20","22.770224575223615","25","true","20","24.898189550791674","35","true","20","23.208612856296536","45","true","20","23.407057213296614","65","true","20","23.326675499224265","75","true","20","18.380187147529263","95","true","20","23.744648274125936","105","true","20","23.081274291344624","115","true","20","22.202820563154447","125","true","20","26.137909174501836","135","true"
"21","28.626274871585277","0","true","21","22.169373938353896","85","true","21","29.442899957064057","55","true","21","25.774982309714115","15","true","21","20.740722383899747","5","true","21","23.14601590166665","25","true","21","25.323061934151394","35","true","21","23.539910357711573","45","true","21","23.975199808382342","65","true","21","23.932431404060747","75","true","21","18.867487874627475","95","true","21","24.314176194541044","105","true","21","23.471904016669384","115","true","21","22.855110400002527","125","true","21","26.815972209666494","135","true"
"22","27.381654224994612","0","true","22","21.205488114947208","85","true","22","28.162773871974316","55","true","22","24.654330904943937","15","true","22","19.838951845469325","5","true","22","22.139667384202884","25","true","22","24.222059241362203","35","true","22","22.51643599433281","45","true","22","22.932799816713544","65","true","22","22.891890908232018","75","true","22","18.047162314861062","95","true","22","23.257038099126216","105","true","22","22.451386450727238","115","true","22","21.861409947828506","125","true","22","25.650060374463603","135","true"
